operatetime,_c1
2022051606,301
2022051605,104
2022051604,16
2022051603,68
2022051602,26
2022051601,128
2022051600,214
2022051523,492
2022051522,912
2022051521,1384
2022051520,1654
2022051519,1812
2022051518,2379
2022051517,3531
2022051516,3955
2022051515,4139
2022051514,3503
2022051513,2339
2022051512,2355
2022051511,3498
2022051510,4612
2022051509,5337
2022051508,3802
2022051507,552
2022051506,135
2022051505,78
2022051504,15
2022051503,59
2022051502,22
2022051501,102
2022051500,166
2022051423,431
2022051422,755
2022051421,1161
2022051420,1381
2022051419,1756
2022051418,2623
2022051417,4269
2022051416,5205
2022051415,5616
2022051414,4898
2022051413,3261
2022051412,3364
2022051411,5922
2022051410,8139
2022051409,9298
2022051408,6895
2022051407,967
2022051406,159
2022051405,87
2022051404,11
2022051403,61
2022051402,29
2022051401,128
2022051400,184
2022051323,601
2022051322,1176
2022051321,2080
2022051320,3335
2022051319,6151
2022051318,13518
2022051317,28942
2022051316,38707
2022051315,44443
2022051314,44904
2022051313,16644
2022051312,9714
2022051311,26927
2022051310,40047
2022051309,58587
2022051308,67221
2022051307,3977
2022051306,323
2022051305,112
2022051304,33
2022051303,121
2022051302,48
2022051301,157
2022051300,242
2022051223,777
2022051222,1363
2022051221,2280
2022051220,3247
2022051219,5833
2022051218,12395
2022051217,29198
2022051216,40505
2022051215,45271
2022051214,46671
2022051213,17242
2022051212,8991
2022051211,26853
2022051210,40874
2022051209,61991
2022051208,70257
2022051207,4131
2022051206,341
2022051205,103
2022051204,22
2022051203,98
2022051202,40
2022051201,133
2022051200,227
2022051123,618
2022051122,1220
2022051121,2078
2022051120,3062
2022051119,5511
2022051118,12017
2022051117,28330
2022051116,39608
2022051115,45042
2022051114,47193
2022051113,17237
2022051112,8841
2022051111,27322
2022051110,41479
2022051109,61912
2022051108,71545
2022051107,4223
2022051106,288
2022051105,82
2022051104,29
2022051103,21
2022051102,61
2022051101,140
2022051100,227
2022051023,666
2022051022,1229
2022051021,2080
2022051020,3309
2022051019,5789
2022051018,12331
2022051017,28750
2022051016,39440
2022051015,45591
2022051014,47432
2022051013,18006
2022051012,8929
2022051011,27782
2022051010,39806
2022051009,61942
2022051008,71521
2022051007,4327
2022051006,339
2022051005,99
2022051004,30
2022051003,60
2022051002,31
2022051001,105
2022051000,195
2022050923,635
2022050922,1231
2022050921,2036
2022050920,3443
2022050919,5838
2022050918,12862
2022050917,29240
2022050916,40314
2022050915,46154
2022050914,48734
2022050913,17826
2022050912,9052
2022050911,28204
2022050910,42972
2022050909,64194
2022050908,72271
2022050907,4382
2022050906,330
2022050905,89
2022050904,17
2022050903,55
2022050902,20
2022050901,97
2022050900,177
2022050823,476
2022050822,867
2022050821,1284
2022050820,1409
2022050819,1631
2022050818,2018
2022050817,3065
2022050816,3794
2022050815,3772
2022050814,3359
2022050813,2425
2022050812,2259
2022050811,3621
2022050810,4833
2022050809,5821
2022050808,3990
2022050807,644
2022050806,134
2022050805,68
2022050804,18
2022050803,57
2022050802,30
2022050801,106
2022050800,161
2022050723,583
2022050722,956
2022050721,1788
2022050720,2734
2022050719,4942
2022050718,12203
2022050717,27420
2022050716,38203
2022050715,42682
2022050714,44869
2022050713,16852
2022050712,8389
2022050711,25878
2022050710,38309
2022050709,58874
2022050708,69216
2022050707,3947
2022050706,285
2022050705,88
2022050704,20
2022050703,67
2022050702,46
2022050701,109
2022050700,200
2022050623,649
2022050622,1059
2022050621,1770
2022050620,3003
2022050619,5286
2022050618,12374
2022050617,28609
2022050616,39502
2022050615,44563
2022050614,47173
2022050613,17285
2022050612,8591
2022050611,26730
2022050610,40369
2022050609,61240
2022050608,71004
2022050607,4147
2022050606,299
2022050605,98
2022050604,19
2022050603,64
2022050602,30
2022050601,103
2022050600,202
2022050523,542
2022050522,1058
2022050521,1855
2022050520,2742
2022050519,4746
2022050518,11466
2022050517,28111
2022050516,38907
2022050515,46053
2022050514,48572
2022050513,16500
2022050512,7786
2022050511,26909
2022050510,41613
2022050509,64296
2022050508,69367
2022050507,4040
2022050506,261
2022050505,81
2022050504,18
2022050503,70
2022050502,20
2022050501,96
2022050500,115
2022050423,457
2022050422,709
2022050421,1178
2022050420,1423
2022050419,1724
2022050418,2244
2022050417,3271
2022050416,4107
2022050415,4386
2022050414,3921
2022050413,2747
2022050412,2470
2022050411,3693
2022050410,5064
2022050409,5903
2022050408,4299
2022050407,652
2022050406,115
2022050405,61
2022050404,7
2022050403,48
2022050402,14
2022050401,85
2022050400,115
2022050323,319
2022050322,601
2022050321,874
2022050320,1091
2022050319,1429
2022050318,1941
2022050317,3159
2022050316,3667
2022050315,3929
2022050314,3369
2022050313,2413
2022050312,2300
2022050311,4070
2022050310,5434
2022050309,6728
2022050308,5060
2022050307,806
2022050306,150
2022050305,94
2022050304,20
2022050303,50
2022050302,34
2022050301,113
2022050300,160
2022050223,475
2022050222,810
2022050221,1365
2022050220,1598
2022050219,1835
2022050218,2467
2022050217,3796
2022050216,4221
2022050215,4607
2022050214,4139
2022050213,2748
2022050212,2673
2022050211,4253
2022050210,6125
2022050209,7578
2022050208,5143
2022050207,760
2022050206,121
2022050205,65
2022050204,11
2022050203,47
2022050202,15
2022050201,106
2022050200,122
2022050123,380
2022050122,731
2022050121,1228
2022050120,1445
2022050119,1976
2022050118,2814
2022050117,4310
2022050116,5220
2022050115,5842
2022050114,5102
2022050113,3422
2022050112,3202
2022050111,5582
2022050110,7521
2022050109,9229
2022050108,6500
2022050107,930
2022050106,132
2022050105,89
2022050104,9
2022050103,77
2022050102,40
2022050101,125
2022050100,220
2022043023,628
2022043022,1188
2022043021,1691
2022043020,2294
2022043019,3038
2022043018,4632
2022043017,6738
2022043016,7837
2022043015,8249
2022043014,7056
2022043013,4913
2022043012,4912
2022043011,8059
2022043010,10362
2022043009,12096
2022043008,8714
2022043007,1332
2022043006,221
2022043005,118
2022043004,60
2022043003,79
2022043002,51
2022043001,161
2022043000,291
2022042923,889
2022042922,1732
2022042921,2826
2022042920,4498
2022042919,8172
2022042918,16714
2022042917,32860
2022042916,42485
2022042915,46918
2022042914,49607
2022042913,20046
2022042912,11008
2022042911,29883
2022042910,43535
2022042909,64722
2022042908,86991
2022042907,4416
2022042906,417
2022042905,152
2022042904,70
2022042903,110
2022042902,67
2022042901,185
2022042900,319
2022042823,897
2022042822,1723
2022042821,2623
2022042820,4057
2022042819,7267
2022042818,14780
2022042817,32250
2022042816,43031
2022042815,46955
2022042814,49917
2022042813,19570
2022042812,10630
2022042811,29265
2022042810,42855
2022042809,63353
2022042808,69897
2022042807,4208
2022042806,323
2022042805,109
2022042804,18
2022042803,71
2022042802,28
2022042801,132
2022042800,268
2022042723,686
2022042722,1386
2022042721,2313
2022042720,3485
2022042719,6297
2022042718,13463
2022042717,30117
2022042716,40505
2022042715,45781
2022042714,50410
2022042713,19553
2022042712,10055
2022042711,29400
2022042710,42611
2022042709,64709
2022042708,71575
2022042707,4228
2022042706,317
2022042705,116
2022042704,31
2022042703,81
2022042702,52
2022042701,159
2022042700,259
2022042623,749
2022042622,1327
2022042621,2273
2022042620,3534
2022042619,6375
2022042618,13354
2022042617,29733
2022042616,41339
2022042615,45413
2022042614,49902
2022042613,19141
2022042612,9210
2022042611,28585
2022042610,42150
2022042609,63680
2022042608,71710
2022042607,4351
2022042606,316
2022042605,117
2022042604,25
2022042603,66
2022042602,39
2022042601,125
2022042600,196
2022042523,643
2022042522,1227
2022042521,2304
2022042520,3341
2022042519,6427
2022042518,13218
2022042517,29574
2022042516,41624
2022042515,47978
2022042514,52935
2022042513,20017
2022042512,9642
2022042511,29066
2022042510,43355
2022042509,65411
2022042508,73956
2022042507,4422
2022042506,319
2022042505,109
2022042504,16
2022042503,69
2022042502,28
2022042501,140
2022042500,258
2022042423,655
2022042422,1234
2022042421,2083
2022042420,3190
2022042419,5379
2022042418,12263
2022042417,29045
2022042416,40274
2022042415,45803
2022042414,50791
2022042413,19212
2022042412,8952
2022042411,28809
2022042410,42497
2022042409,65334
2022042408,74501
2022042407,4011
2022042406,259
2022042405,84
2022042404,13
2022042403,76
2022042402,20
2022042401,110
2022042400,136
2022042323,466
2022042322,776
2022042321,1298
2022042320,1447
2022042319,1763
2022042318,2488
2022042317,3882
2022042316,4613
2022042315,4826
2022042314,4253
2022042313,3061
2022042312,2822
2022042311,4794
2022042310,6243
2022042309,7440
2022042308,5798
2022042307,849
2022042306,142
2022042305,82
2022042304,15
2022042303,69
2022042302,49
2022042301,146
2022042300,244
2022042223,651
2022042222,1427
2022042221,2592
2022042220,4032
2022042219,7285
2022042218,16005
2022042217,35139
2022042216,46663
2022042215,52382
2022042214,55969
2022042213,20446
2022042212,11526
2022042211,32512
2022042210,45888
2022042209,65680
2022042208,72625
2022042207,4200
2022042206,336
2022042205,121
2022042204,34
2022042203,82
2022042202,65
2022042201,166
2022042200,243
2022042123,667
2022042122,1445
2022042121,2609
2022042120,3823
2022042119,7219
2022042118,15241
2022042117,34075
2022042116,46622
2022042115,52573
2022042114,56887
2022042113,22847
2022042112,12000
2022042111,35248
2022042110,50661
2022042109,68896
2022042108,74553
2022042107,4346
2022042106,349
2022042105,109
2022042104,20
2022042103,75
2022042102,42
2022042101,147
2022042100,233
2022042023,558
2022042022,1297
2022042021,2504
2022042020,4141
2022042019,7475
2022042018,16137
2022042017,37371
2022042016,51086
2022042015,57439
2022042014,62828
2022042013,24882
2022042012,12551
2022042011,37917
2022042010,52619
2022042009,68455
2022042008,75275
2022042007,4287
2022042006,329
2022042005,89
2022042004,18
2022042003,78
2022042002,54
2022042001,151
2022042000,222
2022041923,628
2022041922,1294
2022041921,2657
2022041920,4109
2022041919,7403
2022041918,15944
2022041917,35297
2022041916,47215
2022041915,53467
2022041914,58116
2022041913,22370
2022041912,11161
2022041911,33424
2022041910,49977
2022041909,68217
2022041908,75583
2022041907,4320
2022041906,344
2022041905,104
2022041904,26
2022041903,76
2022041902,26
2022041901,116
2022041900,222
2022041823,597
2022041822,1247
2022041821,2169
2022041820,3208
2022041819,6080
2022041818,12801
2022041817,30084
2022041816,42174
2022041815,46631
2022041814,53090
2022041813,20335
2022041812,9666
2022041811,29249
2022041810,44315
2022041809,66730
2022041808,72628
2022041807,4183
2022041806,313
2022041805,83
2022041804,14
2022041803,54
2022041802,32
2022041801,129
2022041800,156
2022041723,433
2022041722,816
2022041721,1166
2022041720,1405
2022041719,1757
2022041718,2198
2022041717,3096
2022041716,3752
2022041715,3953
2022041714,3373
2022041713,2311
2022041712,2177
2022041711,3435
2022041710,4382
2022041709,5066
2022041708,3379
2022041707,475
2022041706,86
2022041705,59
2022041704,13
2022041703,46
2022041702,41
2022041701,138
2022041700,225
2022041623,512
2022041622,679
2022041621,1125
2022041620,1416
2022041619,1766
2022041618,2681
2022041617,4154
2022041616,4942
2022041615,5327
2022041614,4845
2022041613,3311
2022041612,3114
2022041611,5711
2022041610,7625
2022041609,8999
2022041608,6973
2022041607,955
2022041606,138
2022041605,66
2022041604,20
2022041603,78
2022041602,27
2022041601,107
2022041600,208
2022041523,569
2022041522,1067
2022041521,2046
2022041520,3114
2022041519,5755
2022041518,12456
2022041517,28363
2022041516,38332
2022041515,44280
2022041514,48068
2022041513,18569
2022041512,9575
2022041511,27158
2022041510,39572
2022041509,60512
2022041508,69169
2022041507,4145
2022041506,317
2022041505,129
2022041504,117
2022041503,146
2022041502,93
2022041501,192
2022041500,264
2022041423,631
2022041422,1464
2022041421,2170
2022041420,3316
2022041419,5946
2022041418,11972
2022041417,27930
2022041416,38454
2022041415,44026
2022041414,48769
2022041413,18419
2022041412,9287
2022041411,26487
2022041410,40241
2022041409,61484
2022041408,70376
2022041407,4126
2022041406,286
2022041405,82
2022041404,38
2022041403,55
2022041402,29
2022041401,118
2022041400,208
2022041323,664
2022041322,1189
2022041321,2046
2022041320,3164
2022041319,5400
2022041318,11743
2022041317,27804
2022041316,39080
2022041315,44314
2022041314,49847
2022041313,19103
2022041312,9457
2022041311,27404
2022041310,40494
2022041309,62989
2022041308,70488
2022041307,4154
2022041306,291
2022041305,109
2022041304,16
2022041303,96
2022041302,52
2022041301,120
2022041300,249
2022041223,647
2022041222,1191
2022041221,2098
2022041220,3067
2022041219,5356
2022041218,11625
2022041217,27393
2022041216,38446
2022041215,43044
2022041214,49057
2022041213,18112
2022041212,8742
2022041211,26651
2022041210,40467
2022041209,61706
2022041208,71357
2022041207,4080
2022041206,251
2022041205,83
2022041204,25
2022041203,60
2022041202,25
2022041201,116
2022041200,217
2022041123,607
2022041122,1205
2022041121,2022
2022041120,3029
2022041119,5592
2022041118,12005
2022041117,28022
2022041116,39046
2022041115,44615
2022041114,50365
2022041113,19506
2022041112,9172
2022041111,28172
2022041110,42465
2022041109,63229
2022041108,71524
2022041107,4332
2022041106,302
2022041105,80
2022041104,17
2022041103,88
2022041102,19
2022041101,107
2022041100,186
2022041023,440
2022041022,872
2022041021,1226
2022041020,1394
2022041019,1681
2022041018,2174
2022041017,3213
2022041016,3784
2022041015,4066
2022041014,3402
2022041013,2517
2022041012,2155
2022041011,3729
2022041010,4580
2022041009,5241
2022041008,3606
2022041007,567
2022041006,102
2022041005,70
2022041004,9
2022041003,71
2022041002,24
2022041001,87
2022041000,161
2022040923,384
2022040922,729
2022040921,1078
2022040920,1323
2022040919,1763
2022040918,2468
2022040917,4260
2022040916,5129
2022040915,5238
2022040914,4734
2022040913,3201
2022040912,3142
2022040911,5804
2022040910,7717
2022040909,9016
2022040908,7014
2022040907,927
2022040906,158
2022040905,84
2022040904,12
2022040903,59
2022040902,38
2022040901,123
2022040900,222
2022040823,617
2022040822,1035
2022040821,1898
2022040820,2819
2022040819,5550
2022040818,12915
2022040817,28259
2022040816,37741
2022040815,42032
2022040814,46953
2022040813,17979
2022040812,8797
2022040811,26322
2022040810,38317
2022040809,58531
2022040808,69646
2022040807,4079
2022040806,283
2022040805,102
2022040804,26
2022040803,70
2022040802,28
2022040801,122
2022040800,176
2022040723,610
2022040722,1170
2022040721,2046
2022040720,2999
2022040719,5309
2022040718,11454
2022040717,27285
2022040716,37175
2022040715,42221
2022040714,48675
2022040713,17981
2022040712,8343
2022040711,25588
2022040710,38469
2022040709,59584
2022040708,69903
2022040707,4006
2022040706,285
2022040705,84
2022040704,17
2022040703,52
2022040702,28
2022040701,81
2022040700,163
2022040623,501
2022040622,931
2022040621,1777
2022040620,2709
2022040619,4823
2022040618,10712
2022040617,25788
2022040616,36982
2022040615,42418
2022040614,48110
2022040613,17816
2022040612,8288
2022040611,26700
2022040610,40586
2022040609,62841
2022040608,67415
2022040607,3647
2022040606,217
2022040605,102
2022040604,28
2022040603,62
2022040602,14
2022040601,114
2022040600,105
2022040523,441
2022040522,718
2022040521,1144
2022040520,1329
2022040519,1487
2022040518,1816
2022040517,2897
2022040516,3515
2022040515,3677
2022040514,3208
2022040513,2202
2022040512,1950
2022040511,3166
2022040510,4229
2022040509,5283
2022040508,3911
2022040507,590
2022040506,86
2022040505,69
2022040504,9
2022040503,69
2022040502,19
2022040501,92
2022040500,94
2022040423,290
2022040422,521
2022040421,919
2022040420,1000
2022040419,1526
2022040418,1726
2022040417,2780
2022040416,3358
2022040415,3658
2022040414,3392
2022040413,2471
2022040412,2123
2022040411,3371
2022040410,4413
2022040409,5155
2022040408,3932
2022040407,566
2022040406,118
2022040405,67
2022040404,15
2022040403,65
2022040402,21
2022040401,103
2022040400,87
2022040323,353
2022040322,612
2022040321,920
2022040320,1160
2022040319,1325
2022040318,1954
2022040317,3183
2022040316,3775
2022040315,4017
2022040314,3630
2022040313,2500
2022040312,2450
2022040311,4302
2022040310,5661
2022040309,6943
2022040308,4932
2022040307,864
2022040306,141
2022040305,109
2022040304,18
2022040303,67
2022040302,34
2022040301,122
2022040300,193
2022040223,576
2022040222,1205
2022040221,1909
2022040220,2725
2022040219,5113
2022040218,10721
2022040217,24491
2022040216,32760
2022040215,36681
2022040214,41367
2022040213,15839
2022040212,7777
2022040211,23661
2022040210,34174
2022040209,54115
2022040208,60475
2022040207,3457
2022040206,235
2022040205,95
2022040204,66
2022040203,79
2022040202,23
2022040201,132
2022040200,166
2022040123,477
2022040122,1006
2022040121,1738
2022040120,2649
2022040119,4758
2022040118,11109
2022040117,25442
2022040116,35076
2022040115,38987
2022040114,44787
2022040113,16901
2022040112,8150
2022040111,24501
2022040110,35410
2022040109,56132
2022040108,65404
2022040107,3594
2022040106,286
2022040105,105
2022040104,26
2022040103,92
2022040102,99
2022040101,116
2022040100,309
2022033123,959
2022033122,1526
2022033121,2714
2022033120,4166
2022033119,7633
2022033118,14995
2022033117,31199
2022033116,40420
2022033115,44116
2022033114,48877
2022033113,18693
2022033112,10226
2022033111,28592
2022033110,42931
2022033109,63482
2022033108,73567
2022033107,4006
2022033106,315
2022033105,142
2022033104,38
2022033103,102
2022033102,51
2022033101,147
2022033100,255
2022033023,805
2022033022,1481
2022033021,2481
2022033020,3853
2022033019,6741
2022033018,13754
2022033017,30786
2022033016,42486
2022033015,46346
2022033014,50424
2022033013,19386
2022033012,9976
2022033011,29318
2022033010,42751
2022033009,64399
2022033008,72322
2022033007,3846
2022033006,276
2022033005,86
2022033004,20
2022033003,77
2022033002,38
2022033001,139
2022033000,226
2022032923,666
2022032922,1271
2022032921,2136
2022032920,3620
2022032919,6420
2022032918,13110
2022032917,30124
2022032916,40781
2022032915,46548
2022032914,51352
2022032913,19943
2022032912,10203
2022032911,28792
2022032910,42378
2022032909,63733
2022032908,73273
2022032907,4061
2022032906,262
2022032905,100
2022032904,17
2022032903,69
2022032902,35
2022032901,128
2022032900,237
2022032823,692
2022032822,1281
2022032821,2368
2022032820,3763
2022032819,6463
2022032818,13598
2022032817,30946
2022032816,42023
2022032815,48309
2022032814,53332
2022032813,20662
2022032812,10617
2022032811,31424
2022032810,46486
2022032809,70078
2022032808,74195
2022032807,4063
2022032806,229
2022032805,74
2022032804,26
2022032803,65
2022032802,32
2022032801,124
2022032800,163
2022032723,512
2022032722,819
2022032721,1300
2022032720,1687
2022032719,1885
2022032718,2585
2022032717,3762
2022032716,4441
2022032715,4779
2022032714,4180
2022032713,2831
2022032712,2448
2022032711,4269
2022032710,5436
2022032709,5983
2022032708,4518
2022032707,570
2022032706,83
2022032705,72
2022032704,18
2022032703,73
2022032702,29
2022032701,120
2022032700,165
2022032623,429
2022032622,748
2022032621,1205
2022032620,1576
2022032619,1965
2022032618,3145
2022032617,4705
2022032616,5590
2022032615,5936
2022032614,5273
2022032613,3747
2022032612,3789
2022032611,6448
2022032610,8403
2022032609,9505
2022032608,7305
2022032607,944
2022032606,133
2022032605,98
2022032604,25
2022032603,81
2022032602,72
2022032601,129
2022032600,221
2022032523,589
2022032522,1068
2022032521,1969
2022032520,3126
2022032519,6351
2022032518,13340
2022032517,29920
2022032516,39645
2022032515,45006
2022032514,49100
2022032513,19751
2022032512,10897
2022032511,29783
2022032510,43340
2022032509,64338
2022032508,67336
2022032507,3628
2022032506,267
2022032505,88
2022032504,37
2022032503,84
2022032502,75
2022032501,179
2022032500,357
2022032423,798
2022032422,1447
2022032421,2059
2022032420,3300
2022032419,5823
2022032418,12525
2022032417,29687
2022032416,40936
2022032415,46933
2022032414,52539
2022032413,20703
2022032412,9748
2022032411,28519
2022032410,42622
2022032409,63279
2022032408,69971
2022032407,3865
2022032406,283
2022032405,97
2022032404,18
2022032403,72
2022032402,40
2022032401,142
2022032400,224
2022032323,567
2022032322,1172
2022032321,2163
2022032320,3303
2022032319,6328
2022032318,13153
2022032317,29144
2022032316,39656
2022032315,44815
2022032314,51666
2022032313,20621
2022032312,9153
2022032311,28439
2022032310,41740
2022032309,62918
2022032308,71163
2022032307,3790
2022032306,256
2022032305,79
2022032304,19
2022032303,71
2022032302,32
2022032301,134
2022032300,198
2022032223,604
2022032222,1227
2022032221,2147
2022032220,3473
2022032219,5856
2022032218,12508
2022032217,28848
2022032216,40398
2022032215,45903
2022032214,51097
2022032213,19456
2022032212,9642
2022032211,28864
2022032210,42517
2022032209,63247
2022032208,70160
2022032207,3825
2022032206,219
2022032205,78
2022032204,26
2022032203,60
2022032202,22
2022032201,113
2022032200,199
2022032123,528
2022032122,1221
2022032121,2061
2022032120,3373
2022032119,5824
2022032118,12303
2022032117,28368
2022032116,40799
2022032115,46812
2022032114,52275
2022032113,20045
2022032112,10647
2022032111,30728
2022032110,45369
2022032109,67433
2022032108,70366
2022032107,3853
2022032106,240
2022032105,71
2022032104,14
2022032103,63
2022032102,26
2022032101,105
2022032100,145
2022032023,506
2022032022,810
2022032021,1355
2022032020,1673
2022032019,1986
2022032018,2424
2022032017,3552
2022032016,4232
2022032015,4036
2022032014,3756
2022032013,2701
2022032012,2541
2022032011,3870
2022032010,4969
2022032009,5202
2022032008,3412
2022032007,508
2022032006,67
2022032005,54
2022032004,13
2022032003,61
2022032002,29
2022032001,97
2022032000,146
2022031923,415
2022031922,681
2022031921,1031
2022031920,1375
2022031919,1889
2022031918,2697
2022031917,4404
2022031916,5114
2022031915,5325
2022031914,4972
2022031913,3428
2022031912,3388
2022031911,5715
2022031910,7738
2022031909,9181
2022031908,6745
2022031907,820
2022031906,131
2022031905,62
2022031904,12
2022031903,80
2022031902,48
2022031901,182
2022031900,207
2022031823,645
2022031822,1226
2022031821,1989
2022031820,3071
2022031819,5781
2022031818,12488
2022031817,27609
2022031816,37754
2022031815,42880
2022031814,47683
2022031813,18281
2022031812,9764
2022031811,27437
2022031810,39455
2022031809,58621
2022031808,66341
2022031807,3821
2022031806,287
2022031805,103
2022031804,34
2022031803,86
2022031802,55
2022031801,1071
2022031800,71
2022031723,624
2022031722,1323
2022031721,1442
2022031720,3223
2022031719,5759
2022031718,12280
2022031717,28527
2022031716,39277
2022031715,45621
2022031714,54970
2022031713,21752
2022031712,9882
2022031711,27313
2022031710,40275
2022031709,60524
2022031708,67851
2022031707,3712
2022031706,256
2022031705,83
2022031704,22
2022031703,69
2022031702,36
2022031701,123
2022031700,210
2022031623,656
2022031622,1219
2022031621,2009
2022031620,3102
2022031619,5634
2022031618,11822
2022031617,28263
2022031616,39152
2022031615,46049
2022031614,56056
2022031613,22036
2022031612,9546
2022031611,27217
2022031610,40811
2022031609,60589
2022031608,69242
2022031607,3726
2022031606,230
2022031605,76
2022031604,18
2022031603,95
2022031602,34
2022031601,114
2022031600,205
2022031523,639
2022031522,1369
2022031521,2274
2022031520,3476
2022031519,6395
2022031518,13535
2022031517,30158
2022031516,41450
2022031515,48608
2022031514,57587
2022031513,23828
2022031512,10584
2022031511,28581
2022031510,42597
2022031509,64489
2022031508,71059
2022031507,3878
2022031506,238
2022031505,96
2022031504,65
2022031503,75
2022031502,61
2022031501,107
2022031500,189
2022031423,621
2022031422,1256
2022031421,2228
2022031420,3605
2022031419,6359
2022031418,13626
2022031417,30457
2022031416,42641
2022031415,51210
2022031414,62874
2022031413,25559
2022031412,10918
2022031411,30661
2022031410,44167
2022031409,66375
2022031408,69624
2022031407,3797
2022031406,232
2022031405,60
2022031404,13
2022031403,61
2022031402,26
2022031401,93
2022031400,165
2022031323,395
2022031322,685
2022031321,1128
2022031320,1407
2022031319,1841
2022031318,2708
2022031317,3437
2022031316,3794
2022031315,3862
2022031314,3424
2022031313,2424
2022031312,2265
2022031311,3421
2022031310,4414
2022031309,5163
2022031308,3467
2022031307,456
2022031306,67
2022031305,67
2022031304,17
2022031303,57
2022031302,20
2022031301,114
2022031300,124
2022031223,382
2022031222,542
2022031221,890
2022031220,1119
2022031219,1518
2022031218,2155
2022031217,3734
2022031216,4443
2022031215,4816
2022031214,4351
2022031213,3065
2022031212,2865
2022031211,5157
2022031210,7092
2022031209,8629
2022031208,6561
2022031207,798
2022031206,123
2022031205,64
2022031204,14
2022031203,61
2022031202,28
2022031201,129
2022031200,156
2022031123,476
2022031122,834
2022031121,1561
2022031120,2625
2022031119,5111
2022031118,12473
2022031117,28109
2022031116,38618
2022031115,44851
2022031114,54462
2022031113,23460
2022031112,9841
2022031111,26731
2022031110,40008
2022031109,61340
2022031108,70355
2022031107,3955
2022031106,247
2022031105,87
2022031104,21
2022031103,81
2022031102,28
2022031101,102
2022031100,202
2022031023,544
2022031022,975
2022031021,1737
2022031020,2979
2022031019,5318
2022031018,12544
